0,1,1.2,45.7,5.9198691741619
0,1,1.2,43.2,6.16381458714072
0,1,1.1,43.4,6.01046766841128
0.25,1,1.2,45,0.404372944062625
0.25,1,1.2,42.4,0.401168667671348
0.25,1,1.2,47,0.401492813387446
0.5,1,1.2,46.3,0.403815895161911
0.5,1,1.2,41.5,0.404298833692622
0.5,1,1.2,46.9,0.403631599363087
0.75,1,1.2,44.6,0.40426207732956
0.75,1,1.2,45,0.404836150774112
0.75,1,1.2,44.5,0.401371981975923
1,1,1.2,43.9,0.404004330212158
1,1,1.2,44.7,0.405161896873986
1,1,1.2,44.4,0.403144737838424
2,1,1.2,45.9,0.403488674684573
2,1,1.2,44.8,0.403741999015263
2,1,1.1,44.5,0.405373181782052
3,1,1.2,43.4,0.401197240313442
3,1,1.2,48.8,0.404081220325285
3,1,1.2,44.1,0.405038006991067
4,1,1.2,41.9,0.403314376146231
4,1,1.2,46.3,0.403595571268973
4,1,1.2,44.9,0.402162014590186
5,1,1.3,42.9,0.404081220325285
5,1,1.2,42.2,0.404372944062625
5,1,1.2,44.9,0.404916210952543
6,1,1.2,45.8,0.400164523875864
6,1,1.2,43.7,0.404042665114665
6,1,1.2,43.6,0.405079068318143
7,1,1.2,45.4,0.402888296150798
7,1,1.2,41.2,0.40285335915156
7,1,1.2,48.5,0.400542884570823
8,1,1.2,45,0.404796456121592
8,1,1.2,42.7,0.40231918918847
8,1,1.2,45.5,0.403668926197134
