"/home/nikhil/Desktop/logs/results3/log_work_write_0.0_11Dec2010003920",0,"349ops","1ops/s","1.2mb/s","14.9ms/op",1057,3.523,"(0/1","1.2mb/s","3414040us","45.7ms",1448,24460,5.9198691741619
"/home/nikhil/Desktop/logs/results3/log_work_write_0.0_11Dec2010015146",0,"358ops","1ops/s","1.2mb/s","15.4ms/op",1084,3.613,"(0/1","1.2mb/s","3328939us","43.2ms",1484,24076,6.16381458714072
"/home/nikhil/Desktop/logs/results3/log_work_write_0.0_11Dec2010030412",0,"343ops","1ops/s","1.1mb/s","13.1ms/op",1039,3.463,"(0/1","1.1mb/s","3474810us","43.4ms",1424,23692,6.01046766841128
"/home/nikhil/Desktop/logs/results3/log_work_write_0.25_11Dec2010003317",0.250647,"369ops","1ops/s","1.2mb/s","17.9ms/op",1117,3.723,"(0/1","1.2mb/s","3228455us","45.0ms",1528,377869,0.404372944062625
"/home/nikhil/Desktop/logs/results3/log_work_write_0.25_11Dec2010014544",0.250806,"367ops","1ops/s","1.2mb/s","13.9ms/op",1111,3.703,"(0/1","1.2mb/s","3245450us","42.4ms",1520,378893,0.401168667671348
"/home/nikhil/Desktop/logs/results3/log_work_write_0.25_11Dec2010025810",0.249603,"356ops","1ops/s","1.2mb/s","17.6ms/op",1078,3.593,"(0/1","1.2mb/s","3346938us","47.0ms",1476,367628,0.401492813387446
"/home/nikhil/Desktop/logs/results3/log_work_write_0.5_11Dec2010002715",0.500064,"354ops","1ops/s","1.2mb/s","16.9ms/op",1072,3.573,"(0/1","1.2mb/s","3365932us","46.3ms",1468,363532,0.403815895161911
"/home/nikhil/Desktop/logs/results3/log_work_write_0.5_11Dec2010013941",0.500346,"371ops","1ops/s","1.2mb/s","14.7ms/op",1123,3.743,"(0/1","1.2mb/s","3209838us","41.5ms",1536,379917,0.404298833692622
"/home/nikhil/Desktop/logs/results3/log_work_write_0.5_11Dec2010025208",0.501136,"359ops","1ops/s","1.2mb/s","16.4ms/op",1087,3.623,"(0/1","1.2mb/s","3317521us","46.9ms",1488,368653,0.403631599363087
"/home/nikhil/Desktop/logs/results3/log_work_write_0.75_11Dec2010002113",0.750371,"372ops","1ops/s","1.2mb/s","16.9ms/op",1126,3.753,"(0/1","1.2mb/s","3201801us","44.6ms",1540,380941,0.40426207732956
