/home/nikhil/Desktop/logs/writes//log_work_write_0.0_08Dec2010152625,/tmp/fb_08Dec2010152625,0.000000,11227ops,37ops/s,37.4mb/s,76.1ms/op,33686,112.201,(0/37,37.4mb/s,98196us,187.7ms,45132,32608
/home/nikhil/Desktop/logs/writes//log_work_write_0.0_08Dec2010163310,/tmp/fb_08Dec2010163310,0.000000,11073ops,37ops/s,36.9mb/s,77.5ms/op,33221,110.654,(0/37,36.9mb/s,99022us,190.0ms,44512,32603
/home/nikhil/Desktop/logs/writes//log_work_write_0.0_08Dec2010173836,/tmp/fb_08Dec2010173836,0.000000,11160ops,37ops/s,37.2mb/s,76.4ms/op,33482,111.513,(0/37,37.2mb/s,98157us,188.7ms,44860,32606
/home/nikhil/Desktop/logs/writes//log_work_write_1.0_08Dec2010151837,/tmp/fb_08Dec2010151837,1.000000,10931ops,36ops/s,36.4mb/s,79.8ms/op,32797,109.237,(0/36,36.4mb/s,97398us,195.7ms,43940,649047
/home/nikhil/Desktop/logs/writes//log_work_write_1.0_08Dec2010162526,/tmp/fb_08Dec2010162526,1.000000,10957ops,37ops/s,36.5mb/s,79.5ms/op,32873,109.509,(0/37,36.5mb/s,97357us,194.0ms,44040,668248
/home/nikhil/Desktop/logs/writes//log_work_write_1.0_08Dec2010173101,/tmp/fb_08Dec2010173101,1.000000,10911ops,36ops/s,36.3mb/s,80.3ms/op,32734,109.026,(0/36,36.3mb/s,97914us,195.5ms,43860,655702
/home/nikhil/Desktop/logs/writes//log_work_write_2.0_08Dec2010151030,/tmp/fb_08Dec2010151030,2.000000,10556ops,35ops/s,35.2mb/s,88.2ms/op,31673,105.498,(0/35,35.2mb/s,96866us,213.0ms,42436,2600395
/home/nikhil/Desktop/logs/writes//log_work_write_2.0_08Dec2010161739,/tmp/fb_08Dec2010161739,2.000000,10478ops,35ops/s,34.9mb/s,89.6ms/op,31439,104.715,(0/35,34.9mb/s,96982us,213.6ms,42124,2573385
/home/nikhil/Desktop/logs/writes//log_work_write_2.0_08Dec2010172329,/tmp/fb_08Dec2010172329,2.000000,10442ops,35ops/s,34.8mb/s,89.9ms/op,31332,104.378,(0/35,34.8mb/s,96087us,216.6ms,41980,2560328
/home/nikhil/Desktop/logs/writes//log_work_write_3.0_08Dec2010150321,/tmp/fb_08Dec2010150321,3.000000,9709ops,32ops/s,32.3mb/s,101.4ms/op,29131,97.041,(0/32,32.3mb/s,95157us,242.9ms,39036,4372785
/home/nikhil/Desktop/logs/writes//log_work_write_3.0_08Dec2010161047,/tmp/fb_08Dec2010161047,3.000000,9712ops,32ops/s,32.3mb/s,102.8ms/op,29137,97.035,(0/32,32.3mb/s,94262us,240.3ms,39048,4362673
/home/nikhil/Desktop/logs/writes//log_work_write_3.0_08Dec2010171626,/tmp/fb_08Dec2010171626,3.000000,9562ops,32ops/s,31.9mb/s,106.4ms/op,28689,95.569,(0/32,31.9mb/s,94590us,245.4ms,38448,4324908
/home/nikhil/Desktop/logs/writes//log_work_write_4.0_08Dec2010145623,/tmp/fb_08Dec2010145623,4.000000,6439ops,21ops/s,21.5mb/s,187.5ms/op,19322,64.371,(0/21,21.5mb/s,89059us,416.4ms,25904,6579402
/home/nikhil/Desktop/logs/writes//log_work_write_4.0_08Dec2010160318,/tmp/fb_08Dec2010160318,4.000000,7661ops,26ops/s,25.5mb/s,140.8ms/op,22986,76.579,(0/26,25.5mb/s,90687us,332.1ms,30812,7818097
/home/nikhil/Desktop/logs/writes//log_work_write_4.0_08Dec2010170917,/tmp/fb_08Dec2010170917,4.000000,8016ops,27ops/s,26.7mb/s,130.1ms/op,24053,80.138,(0/27,26.7mb/s,91677us,310.3ms,32236,8179708
