0,37,37.4,187.7,2.1411604171
0,37,36.9,190,2.1352195443
0,37,37.2,188.7,2.138561745
1,36,36.4,195.7,0.8305839057
1,37,36.5,194,0.8189096427
1,36,36.3,195.5,0.825362119
2,35,35.2,213,0.2126951184
2,35,34.9,213.6,0.2140248389
2,35,34.8,216.6,0.2147468285
3,32,32.3,242.9,-0.0492928153
3,32,32.3,240.3,-0.0481538674
3,32,31.9,245.4,-0.0511031201
4,21,21.5,416.4,-0.4048195911
4,26,25.5,332.1,-0.4043811653
4,27,26.7,310.3,-0.4043966534
5,24,23.8,359.8,-0.4058291179
5,28,27.7,301.3,-0.4061718064
5,27,27.1,307.3,-0.4062280841
6,24,24.3,355.2,-0.4061731871
6,26,26.1,324.9,-0.4059902976
6,26,26.2,325.9,-0.4061587096
7,25,24.7,343.3,-0.4061540933
7,23,22.6,383.4,-0.405952055
7,26,26.4,317.2,-0.4062869047
8,22,21.6,403.9,-0.4063196691
8,23,22.6,383.9,-0.4059537375
8,22,22.4,389,-0.4059335986
